	Emu_protein	Hmi_protein	Mco_protein
OG0000010	EmuJ_000651500.1, EmuJ_000682500.1, EmuJ_000709300.1, EmuJ_001155900.1, EmuJ_002194200.1	HmN_000895800.1, HmN_000895900.1, HmN_000896700.1, HmN_002058000.1, HmN_002061200.1, HmN_002241700.1	MCOS_0000200501-mRNA-1, MCOS_0000236901-mRNA-1, MCOS_0000275801-mRNA-1, MCOS_0000275901-mRNA-1, MCOS_0000276001-mRNA-1, MCOS_0000385801-mRNA-1, MCOS_0000435901-mRNA-1, MCOS_0000624601-mRNA-1, MCOS_0000796701-mRNA-1, MCOS_0000796801-mRNA-1, MCOS_0000850801-mRNA-1, MCOS_0000872601-mRNA-1, MCOS_0000872901-mRNA-1, MCOS_0000888101-mRNA-1, MCOS_0000907301-mRNA-1, MCOS_0000907501-mRNA-1, MCOS_0000970701-mRNA-1, MCOS_0000999101-mRNA-1, MCOS_0001033201-mRNA-1
OG0000011	EmuJ_000036300.1, EmuJ_000044200.1, EmuJ_000061200.1, EmuJ_000406900.1, EmuJ_000407200.1, EmuJ_000407300.1, EmuJ_000701700.1, EmuJ_000703300.1, EmuJ_000916000.1, EmuJ_000994000.1	HmN_000072700.1, HmN_000133500.1, HmN_000135300.1, HmN_000296800.1, HmN_000745600.1, HmN_000961700.1, HmN_000962000.1, HmN_002010100.1	MCOS_0000195701-mRNA-1, MCOS_0000244001-mRNA-1, MCOS_0000333301-mRNA-1, MCOS_0000488901-mRNA-1, MCOS_0000750401-mRNA-1, MCOS_0000764201-mRNA-1, MCOS_0000866901-mRNA-1, MCOS_0000945701-mRNA-1, MCOS_0000946001-mRNA-1, MCOS_0000952101-mRNA-1
OG0000012	EmuJ_000037500.1, EmuJ_000279100.1, EmuJ_000322800.1, EmuJ_000323300.1, EmuJ_000336500.1, EmuJ_000336700.1, EmuJ_000367300.1, EmuJ_000367600.1, EmuJ_000383700.1, EmuJ_000384000.1, EmuJ_000384300.1, EmuJ_000384800.1, EmuJ_000385200.1, EmuJ_000385700.1, EmuJ_000386000.1, EmuJ_000386300.1, EmuJ_000386800.1, EmuJ_000387300.1, EmuJ_000387800.1, EmuJ_000398500.1, EmuJ_000472800.1, EmuJ_001203100.1	HmN_000547600.1, HmN_002181400.1, HmN_002189800.1	MCOS_0000057701-mRNA-1, MCOS_0000470101-mRNA-1, MCOS_0001054401-mRNA-1
OG0000013	EmuJ_000015300.1, EmuJ_001115300.1, EmuJ_001115400.1, EmuJ_001115500.1, EmuJ_001115600.1	HmN_000157000.1, HmN_000624900.1, HmN_000845300.1	MCOS_0000287001-mRNA-1, MCOS_0000353301-mRNA-1, MCOS_0000386001-mRNA-1, MCOS_0000386101-mRNA-1, MCOS_0000455601-mRNA-1, MCOS_0000459001-mRNA-1, MCOS_0000465101-mRNA-1, MCOS_0000478201-mRNA-1, MCOS_0000484701-mRNA-1, MCOS_0000486601-mRNA-1, MCOS_0000493901-mRNA-1, MCOS_0000496101-mRNA-1, MCOS_0000953401-mRNA-1, MCOS_0000953701-mRNA-1, MCOS_0001008301-mRNA-1, MCOS_0001022201-mRNA-1, MCOS_0001037901-mRNA-1, MCOS_0001044301-mRNA-1
OG0000014	EmuJ_000397200.1, EmuJ_000545700.1, EmuJ_000545800.1, EmuJ_000545900.1, EmuJ_000546000.1, EmuJ_000548500.1, EmuJ_000549000.1, EmuJ_000549100.1, EmuJ_002164800.1	HmN_000880800.1	MCOS_0000118401-mRNA-1, MCOS_0000118501-mRNA-1, MCOS_0000296201-mRNA-1, MCOS_0000296301-mRNA-1, MCOS_0000431701-mRNA-1, MCOS_0000733901-mRNA-1, MCOS_0000902201-mRNA-1, MCOS_0000902301-mRNA-1, MCOS_0000950401-mRNA-1, MCOS_0000950501-mRNA-1, MCOS_0000950601-mRNA-1, MCOS_0000950701-mRNA-1, MCOS_0001001701-mRNA-1, MCOS_0001009901-mRNA-1, MCOS_0001010001-mRNA-1
OG0000015	EmuJ_000000800.1, EmuJ_000007400.1, EmuJ_000013800.1, EmuJ_000013900.1, EmuJ_000028700.1, EmuJ_000034800.1, EmuJ_000047600.1, EmuJ_000047700.1, EmuJ_000048100.1, EmuJ_000048300.1, EmuJ_000048500.1, EmuJ_000329200.1, EmuJ_000368200.1, EmuJ_000368400.1, EmuJ_000368900.1, EmuJ_000369300.1, EmuJ_000382800.1, EmuJ_000383300.1, EmuJ_000388600.1, EmuJ_000400700.1, EmuJ_002193400.1, EmuJ_002195700.1	HmN_000449300.1, HmN_000449700.1	
OG0000016	EmuJ_000083300.1, EmuJ_000351400.1, EmuJ_001112500.1, EmuJ_001113100.1, EmuJ_001201300.1	HmN_002226700.1, HmN_002235700.1	MCOS_0000223401-mRNA-1, MCOS_0000223501-mRNA-1, MCOS_0000223601-mRNA-1, MCOS_0000223701-mRNA-1, MCOS_0000425501-mRNA-1, MCOS_0000428801-mRNA-1, MCOS_0000489701-mRNA-1, MCOS_0000826701-mRNA-1, MCOS_0000826801-mRNA-1, MCOS_0000826901-mRNA-1, MCOS_0000827101-mRNA-1, MCOS_0000861301-mRNA-1, MCOS_0000861401-mRNA-1, MCOS_0000934001-mRNA-1, MCOS_0000934101-mRNA-1
OG0000017	EmuJ_000039600.1, EmuJ_000412000.1, EmuJ_000418600.1, EmuJ_000418900.1, EmuJ_001119500.1	HmN_000671500.1, HmN_000849200.1, HmN_000925900.1	MCOS_0000379501-mRNA-1, MCOS_0000400601-mRNA-1, MCOS_0000406601-mRNA-1, MCOS_0000412001-mRNA-1, MCOS_0000436701-mRNA-1, MCOS_0001004801-mRNA-1, MCOS_0001007801-mRNA-1, MCOS_0001007901-mRNA-1, MCOS_0001015301-mRNA-1, MCOS_0001022501-mRNA-1, MCOS_0001025501-mRNA-1, MCOS_0001044601-mRNA-1, MCOS_0001049201-mRNA-1
OG0000018	EmuJ_000615200.1	HmN_000048500.1, HmN_000155000.1, HmN_000158200.1, HmN_000274700.1, HmN_000394400.1, HmN_000445000.1, HmN_000498400.1, HmN_000655000.1, HmN_000692000.1, HmN_000752000.1, HmN_002006700.1, HmN_002013400.1, HmN_002163800.1, HmN_002193700.1, HmN_002251600.1, HmN_002273100.1, HmN_002286100.1, HmN_002287500.1, HmN_002287600.1	MCOS_0000713101-mRNA-1
OG0000019	EmuJ_000003600.1, EmuJ_000032300.1, EmuJ_000047000.1, EmuJ_000049700.1, EmuJ_000050100.1, EmuJ_000261100.1, EmuJ_000289400.1, EmuJ_000293700.1, EmuJ_000295100.1, EmuJ_000304800.1, EmuJ_000324200.1, EmuJ_000401200.1, EmuJ_000512300.1, EmuJ_000515550.1, EmuJ_000520550.1, EmuJ_000566700.1, EmuJ_000681200.1, EmuJ_001120700.1, EmuJ_001120900.1, EmuJ_001201600.1		
OG0000020	EmuJ_000110400.1, EmuJ_000110500.1, EmuJ_000155600.1, EmuJ_000156000.1, EmuJ_000156400.1	HmN_000425800.1, HmN_000707000.1, HmN_000707100.1, HmN_000707400.1, HmN_000707600.1, HmN_000707700.1, HmN_000707800.1	MCOS_0000062301-mRNA-1, MCOS_0000140201-mRNA-1, MCOS_0000381901-mRNA-1, MCOS_0000449701-mRNA-1, MCOS_0000974301-mRNA-1, MCOS_0000974401-mRNA-1, MCOS_0000974501-mRNA-1
OG0000021		HmN_002085900.1	MCOS_0000197901-mRNA-1, MCOS_0000198001-mRNA-1, MCOS_0000198101-mRNA-1, MCOS_0000236001-mRNA-1, MCOS_0000284201-mRNA-1, MCOS_0000311901-mRNA-1, MCOS_0000381101-mRNA-1, MCOS_0000399201-mRNA-1, MCOS_0000410001-mRNA-1, MCOS_0000437201-mRNA-1, MCOS_0000470901-mRNA-1, MCOS_0000476301-mRNA-1, MCOS_0000501301-mRNA-1, MCOS_0000980201-mRNA-1, MCOS_0000998401-mRNA-1, MCOS_0001002201-mRNA-1, MCOS_0001002301-mRNA-1, MCOS_0001053301-mRNA-1
OG0000022	EmuJ_000255900.1, EmuJ_000475900.1, EmuJ_000536500.1, EmuJ_000592300.1, EmuJ_000596000.1, EmuJ_000596700.1, EmuJ_000617600.1, EmuJ_000618250.1, EmuJ_000618300.1, EmuJ_000618400.1, EmuJ_000621000.1, EmuJ_000629000.1, EmuJ_000725200.1, EmuJ_000868400.1, EmuJ_000893200.1, EmuJ_000953100.1, EmuJ_001028600.1		MCOS_0000096301-mRNA-1
OG0000023	EmuJ_000751200.1, EmuJ_000812100.1, EmuJ_001168100.1, EmuJ_001168200.1, EmuJ_001168300.1, EmuJ_001182500.1	HmN_000061300.1, HmN_000153400.1, HmN_000153500.1, HmN_000153600.1, HmN_000277600.1, HmN_000554500.1, HmN_002271400.1	MCOS_0000200101-mRNA-1, MCOS_0000384501-mRNA-1, MCOS_0000384601-mRNA-1, MCOS_0000531001-mRNA-1, MCOS_0000726101-mRNA-1
OG0000024		HmN_000688900.1	MCOS_0000408301-mRNA-1, MCOS_0000414701-mRNA-1, MCOS_0000414801-mRNA-1, MCOS_0000416801-mRNA-1, MCOS_0000419301-mRNA-1, MCOS_0000440701-mRNA-1, MCOS_0000446501-mRNA-1, MCOS_0000471501-mRNA-1, MCOS_0000472901-mRNA-1, MCOS_0000475901-mRNA-1, MCOS_0000487301-mRNA-1, MCOS_0000494101-mRNA-1, MCOS_0001004901-mRNA-1, MCOS_0001005001-mRNA-1, MCOS_0001035001-mRNA-1, MCOS_0001045301-mRNA-1, MCOS_0001058001-mRNA-1
OG0000025	EmuJ_000031300.1, EmuJ_000323000.1, EmuJ_000323100.1, EmuJ_000367100.1, EmuJ_000384600.1, EmuJ_000385100.1, EmuJ_000385500.1, EmuJ_000386600.1, EmuJ_000387100.1, EmuJ_000387600.1, EmuJ_000388100.1	HmN_000001600.1, HmN_000170200.1, HmN_000547400.1, HmN_000548200.1, HmN_002181200.1	MCOS_0000448101-mRNA-1
OG0000026	EmuJ_000089800.1, EmuJ_000637900.1, EmuJ_000689400.1, EmuJ_000815700.1, EmuJ_000820700.1	HmN_000114900.1, HmN_000253700.1, HmN_000348900.1, HmN_000690200.1, HmN_000690500.1, HmN_000951500.1, HmN_000951600.1	MCOS_0000161301-mRNA-1, MCOS_0000832901-mRNA-1, MCOS_0000867601-mRNA-1, MCOS_0000873201-mRNA-1, MCOS_0000996501-mRNA-1
OG0000027	EmuJ_000160100.1, EmuJ_000160300.1, EmuJ_000777700.1, EmuJ_000900900.1, EmuJ_000901000.1, EmuJ_000901300.1, EmuJ_000931700.1	HmN_000034000.1, HmN_000131300.1, HmN_000766400.1, HmN_000852200.1, HmN_000852300.1, HmN_000852500.1	MCOS_0000000001-mRNA-1, MCOS_0000270001-mRNA-1, MCOS_0000744901-mRNA-1, MCOS_0001029601-mRNA-1
OG0000028	EmuJ_000209600.1, EmuJ_000279200.1, EmuJ_000337000.1, EmuJ_000367200.1, EmuJ_000367500.1, EmuJ_000383600.1, EmuJ_000383900.1, EmuJ_000384200.1, EmuJ_000472600.1, EmuJ_000472900.1, EmuJ_001201500.1, EmuJ_001203200.1, EmuJ_002202600.1	HmN_000547500.1, HmN_002181300.1	MCOS_0000547101-mRNA-1
OG0000029	EmuJ_000354700.1, EmuJ_000354800.1, EmuJ_000354850.1, EmuJ_000354900.1, EmuJ_000355000.1, EmuJ_000355100.1, EmuJ_000355300.1, EmuJ_000355400.1, EmuJ_000355500.1, EmuJ_002181600.1	HmN_000330000.1, HmN_000330100.1, HmN_000330200.1, HmN_000600600.1, HmN_000600700.1	MCOS_0000962001-mRNA-1
OG0000030	EmuJ_000371100.1, EmuJ_000397300.1, EmuJ_000398200.1, EmuJ_000997700.1, EmuJ_000998000.1, EmuJ_000998100.1, EmuJ_000998200.1	HmN_000384700.1, HmN_000521800.1, HmN_000521900.1, HmN_000969700.1, HmN_000969800.1, HmN_000980400.1, HmN_001009300.1, HmN_001009500.1, HmN_002081700.1	
OG0000031	EmuJ_001120100.1	HmN_000021300.1	MCOS_0000366901-mRNA-1, MCOS_0000488501-mRNA-1, MCOS_0000495001-mRNA-1, MCOS_0000503601-mRNA-1, MCOS_0000819401-mRNA-1, MCOS_0000819601-mRNA-1, MCOS_0000973701-mRNA-1, MCOS_0001005201-mRNA-1, MCOS_0001034301-mRNA-1, MCOS_0001038701-mRNA-1, MCOS_0001039301-mRNA-1, MCOS_0001042201-mRNA-1, MCOS_0001051901-mRNA-1, MCOS_0001055001-mRNA-1
OG0000032		HmN_000188200.1, HmN_000251500.1, HmN_000276300.1, HmN_000308500.1, HmN_000416400.1, HmN_000417200.1, HmN_000436700.1, HmN_000505300.1, HmN_000555300.1, HmN_000647500.1, HmN_000665400.1, HmN_000702600.1, HmN_000840500.1, HmN_000917600.1, HmN_001023100.1, HmN_002215000.1	
OG0000033	EmuJ_000035200.1, EmuJ_000201700.1, EmuJ_000568000.1, EmuJ_000576200.1, EmuJ_000676400.1, EmuJ_000786100.1, EmuJ_000864400.1, EmuJ_001192600.1, EmuJ_002102000.1, EmuJ_002103400.1, EmuJ_002104900.1, EmuJ_002150000.1, EmuJ_002223700.1	HmN_002094700.1	MCOS_0000809401-mRNA-1
OG0000034	EmuJ_000046900.1, EmuJ_000168400.1, EmuJ_000382500.1, EmuJ_000396200.1, EmuJ_000622600.1, EmuJ_000723200.1, EmuJ_000723300.1, EmuJ_000723600.1, EmuJ_002115300.1, EmuJ_002207900.1, EmuJ_002212600.1	HmN_000413700.1	MCOS_0000049401-mRNA-1, MCOS_0000152801-mRNA-1, MCOS_0000421301-mRNA-1
OG0000035	EmuJ_000168300.1, EmuJ_000178300.1, EmuJ_000178400.1, EmuJ_000333900.1, EmuJ_000521100.1, EmuJ_000521600.1, EmuJ_000545300.1, EmuJ_000548600.1, EmuJ_000913700.1, EmuJ_000914400.1, EmuJ_001085200.1	HmN_000127600.1, HmN_000127700.1, HmN_000295200.1, HmN_000997000.1	
